Club_ID,Club,Conference,Ranking,Matches Played,Wins,Draws,Losses
14,New York City FC,Eastern,1,34,18,10,6
1,Atlanta United,Eastern,2,34,18,4,12
17,Philadelphia Union,Eastern,3,34,16,7,11
23,Toronto FC,Eastern,4,34,13,11,10
5,DC United,Eastern,5,34,13,11,10
15,New York Red Bulls,Eastern,6,34,14,6,14
13,New England Revolution,Eastern,7,34,11,12,11
2,Chicago Fire,Eastern,8,34,10,12,12
12,Montreal Impact,Eastern,9,34,12,5,17
4,Columbus Crew,Eastern,10,34,10,8,16
16,Orlando City SC,Eastern,11,34,9,10,15
6,FC Cincinnati,Eastern,12,34,6,6,22
10,LAFC,Western,1,34,21,9,4
21,Seattle Sounders FC,Western,2,34,16,8,10
19,Real Salt Lake,Western,3,34,16,5,13
11,Minnesota United,Western,4,34,15,8,11
9,LA Galaxy,Western,5,34,16,3,15
18,Portland Timbers,Western,6,34,14,7,13
7,FC Dallas,Western,7,34,13,9,12
20,San Jose Earthquakes,Western,8,34,13,5,16
3,Colorado Rapids,Western,9,34,12,6,16
8,Houston Dynamo,Western,10,34,12,4,18
22,Sporting Kansas City,Western,11,34,10,8,16
24,Vancouver Whitecaps,Western,12,34,8,10,16
